"fmun_cod";"fmun";"ano";"regiao";"hom_doloso";"lesao_corp_morte";"latrocinio";"cvli";"hom_por_interv_policial";"letalidade_violenta";"tentat_hom";"lesao_corp_dolosa";"estupro";"hom_culposo";"lesao_corp_culposa";"roubo_transeunte";"roubo_celular";"roubo_em_coletivo";"roubo_rua";"roubo_carga";"roubo_comercio";"roubo_residencia";"roubo_banco";"roubo_cx_eletronico";"roubo_conducao_saque";"roubo_apos_saque";"roubo_bicicleta";"outros_roubos";"total_roubos";"furto_veiculos";"furto_transeunte";"furto_coletivo";"furto_celular";"furto_bicicleta";"outros_furtos";"total_furtos";"sequestro";"extorsao";"sequestro_relampago";"estelionato";"apreensao_drogas";"posse_drogas";"trafico_drogas";"apreensao_drogas_sem_autor";"recuperacao_veiculos";"apf";"aaapai";"cmp";"cmba";"ameaca";"pessoas_desaparecidas";"encontro_cadaver";"encontro_ossada";"pol_militares_mortos_serv";"pol_civis_mortos_serv";"registro_ocorrencias";"fase"
3301801;"Engenheiro Paulo de Frontin";2015;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301801;"Engenheiro Paulo de Frontin";2016;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301801;"Engenheiro Paulo de Frontin";2017;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301801;"Engenheiro Paulo de Frontin";2018;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301801;"Engenheiro Paulo de Frontin";2019;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301801;"Engenheiro Paulo de Frontin";2020;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301850;"Guapimirim";2014;"Baixada Fluminense";"48,54";"0";"0";"48,54";"0";"48,54";"41,35";"713,7";"43,15";"35,95";"451,23";"100,67";"7,19";"10,79";"118,65";"5,39";"41,35";"7,19";"0";"0";"0";"1,8";"0";"23,37";"318,2";"270,14";"41,35";"8,99";"25,17";"0";"436,85";"571,68";"0";"7,19";"0";"84,49";"113,26";"46,74";"66,52";"1,8";"212,84";"152,81";"41,35";"68,31";"0";"650,77";"44,94";"12,58";"0";"0";"0";"3564,88";3
3301850;"Guapimirim";2015;"Baixada Fluminense";"42,47";"0";"0";"42,47";"1,77";"44,24";"21,23";"575,07";"37,16";"21,23";"458,29";"53,08";"37,16";"14,16";"104,4";"28,31";"33,62";"12,39";"0";"0";"0";"5,31";"0";"65,47";"337,96";"382,39";"30,08";"5,31";"46,01";"7,08";"362,74";"541,45";"0";"7,08";"0";"67,24";"74,32";"30,08";"40,7";"5,31";"367,4";"106,17";"35,39";"81,39";"1,77";"543,22";"30,08";"3,54";"0";"0";"0";"3455,72";3
3301850;"Guapimirim";2016;"Baixada Fluminense";"42,03";"0";"3,5";"45,53";"0";"45,53";"28,02";"560,37";"28,02";"42,03";"257,42";"260,92";"68,3";"22,77";"351,98";"47,28";"50,78";"8,76";"0";"0";"0";"0";"0";"42,03";"663,69";"414,41";"36,77";"7";"28,02";"26,27";"404,52";"607,65";"0";"12,26";"1,75";"115,58";"98,06";"28,02";"70,05";"1,75";"344,17";"129,59";"24,52";"196,13";"3,5";"500,83";"33,27";"0";"0";"0";"0";"3922,6";3
3301850;"Guapimirim";2017;"Baixada Fluminense";"41,44";"0";"1,73";"43,16";"0";"43,16";"20,72";"448,89";"51,79";"41,44";"224,44";"208,91";"81,15";"34,53";"324,58";"15,54";"43,16";"6,91";"0";"0";"0";"0";"0";"88,05";"618,08";"160,14";"25,9";"12,09";"50,07";"15,54";"405,73";"550,75";"0";"3,45";"0";"51,79";"138,12";"43,16";"89,78";"8,63";"306,93";"165,74";"44,89";"226,17";"0";"410,9";"15,54";"0";"0";"0";"0";"3364,93";3
